NDC Description,NDC,Old NADAC Per Unit,New NADAC Per Unit,Classification for Rate Setting,Percent Change,Primary Reason,Start Date,End Date,Effective Date
SILDENAFIL 50 MG TABLET,65862069030,0.32867,0.29731,G,-9.54,Survey Rate,05/12/2021,05/19/2021,05/01/2021
TOLTERODINE TARTRATE 2 MG TAB,59762080006,0.55468,0.51427,G,-7.29,Survey Rate,05/12/2021,05/19/2021,05/19/2021
CARBIDOPA-LEVODOPA 25-100 TAB,63739010810,0.09375,0.09648,G,2.91,Survey Rate,05/12/2021,05/19/2021,05/19/2021
ETHOSUXIMIDE 250 MG/5 ML SOLN,59762235005,0.19331,0.17895,G,-7.43,Survey Rate,05/12/2021,05/19/2021,05/19/2021
LINEZOLID 600 MG TABLET,60687030911,2.19680,2.01421,G,-8.31,Survey Rate,05/12/2021,05/19/2021,05/19/2021
SIMVASTATIN 40 MG TABLET,16729000615,0.04449,0.04407,G,-0.94,Survey Rate,05/12/2021,05/19/2021,05/19/2021
LEVOTHYROXINE 25 MCG TABLET,60687045311,0.20441,0.19586,G,-4.18,Survey Rate,05/12/2021,05/19/2021,05/19/2021
TACROLIMUS 0.5 MG CAPSULE (IMMEDIATE RELEASE),68462068501,0.31981,0.32848,G,2.71,Survey Rate,05/12/2021,05/19/2021,05/19/2021
NICOTINE 2 MG MINI LOZENGE,70000011701,0.35248,0.36501,G,3.55,Survey Rate,05/12/2021,05/19/2021,05/19/2021
FENTANYL 100 MCG/HR PATCH,00378912498,8.21944,9.85076,G,19.85,Survey Rate,05/12/2021,05/19/2021,05/19/2021
CYCLOBENZAPRINE 10 MG TABLET,00591565805,0.02515,0.02697,G,7.24,Survey Rate,05/12/2021,05/19/2021,05/19/2021
TADALAFIL 2.5 MG TABLET,68180091906,0.20161,0.21454,G,6.41,Survey Rate,05/12/2021,05/19/2021,05/19/2021
LISINOPRIL 2.5 MG TABLET,76282041701,0.01709,0.01760,G,2.98,Survey Rate,05/12/2021,05/19/2021,05/19/2021
FLUOCINOLONE 0.025% CREAM,00713070960,1.00858,1.08593,G,7.67,Survey Rate,05/12/2021,05/19/2021,05/19/2021
CLOBETASOL 0.05% OINTMENT,43386009662,0.42171,0.45732,G,8.44,Survey Rate,05/12/2021,05/19/2021,05/19/2021
OXYBUTYNIN CL ER 15 MG TABLET,62175027241,0.27486,0.26491,G,-3.62,Survey Rate,05/12/2021,05/19/2021,05/19/2021
ABACAVIR 300 MG TABLET,68084002121,0.75817,0.55556,G,-26.72,Survey Rate,05/12/2021,05/19/2021,05/19/2021
CEFTRIAXONE 1 GM VIAL,68180063310,1.99050,2.35780,G,18.45,Survey Rate,05/12/2021,05/19/2021,05/19/2021
CLINDAMYCIN PH 1% GEL,73473030060,0.87766,0.85695,G,-2.36,Survey Rate,05/12/2021,05/19/2021,05/19/2021
TRIAZOLAM 0.25 MG TABLET,59762371809,1.31271,1.27052,G,-3.21,Survey Rate,05/12/2021,05/19/2021,05/19/2021
NICOTINE 4 MG LOZENGE,36800087305,0.35975,0.35841,G,-0.37,Survey Rate,05/12/2021,05/19/2021,05/19/2021
METHYLPHENIDATE ER 36 MG TAB,62037072601,1.22450,1.55265,G,26.80,Survey Rate,05/12/2021,05/19/2021,05/19/2021
BUPROPION HCL SR 100 MG TABLET,43547028809,0.14389,0.13265,G,-7.81,Survey Rate,05/12/2021,05/19/2021,05/19/2021
SILODOSIN 4 MG CAPSULE,68180074006,0.85336,1.04077,G,21.96,Survey Rate,05/12/2021,05/19/2021,05/19/2021
PRALUENT 150 MG/ML PEN,72733590202,216.97885,217.84727,B,0.40,Survey Rate,05/12/2021,05/19/2021,05/19/2021
PRASUGREL 5 MG TABLET,65862082930,0.31642,0.43320,G,36.91,Survey Rate,05/12/2021,05/19/2021,05/19/2021
MIRTAZAPINE 45 MG TABLET,60505024901,0.15578,0.15015,G,-3.61,Survey Rate,05/12/2021,05/19/2021,05/19/2021
HYDROCORTISONE 1% OINTMENT,51672201802,0.07383,0.07051,G,-4.50,Survey Rate,05/12/2021,05/19/2021,05/19/2021
